#Coincident events which overlap by the sum of both gatelengths.
Ch0 time/s;(time ch.0 - time ch.1)/ns;energy ch.0;energy ch.1
5365.029697122905;-42.90625;194;5
5366.0451238;-141.34375;94;56
5366.166929634001;141.09375;3773;1378
5366.329202029312;-142.9375;644;3
5368.289289431999;-77.34375;119;25
5370.237563404;-96.8125;209;5
5376.514117648938;-232.9375;156;83
5378.1088148255;-182.84375;172;136
5397.943522566375;-134.375;100;27
5400.254447778157;-122.15625;88;51
5400.933527218657;-204.28125;253;20
5402.045398949812;18.1875;103;65
5402.5245884453125;346.6875;33;30
5403.2020781554065;-3.40625;269;65
5403.545613930657;-92.28125;324;34
5403.66052959;64.375;298;5
5403.801143803001;17.78125;280;79
5404.1025279919995;-170.3125;309;48
5404.2354691440005;-106;204;39
5404.4363754000005;96;6;5
5404.667636325063;29.59375;122;85
5404.702258904;-72;254;46
5404.943173530657;-74.65625;87;20
5405.145415012;-92;271;39
5405.657990832562;132.75;89;60
5406.115390329125;-177.125;238;52
5406.509106429063;-197.0625;288;86
5407.232149752718;-112.71875;262;77
5407.424197634;-2;154;44
5408.349661818282;107.03125;151;90
5408.536126227999;92;46;31
5408.839982945593;-5.59375;188;28
5409.010988569313;-53.3125;7;103
5409.366241432001;-196;164;41
5409.439269584001;-189.34375;102;40
5409.7350829120005;-145.625;263;84
5410.3866787831885;-133.1875;219;72
5410.836339408718;-72;599;51
5412.059203877313;66.6875;53;63
5412.709444651532;-139.53125;211;68
5414.088444238;-166;128;28
5414.266972057313;-98.65625;314;5
5414.797727872;-148.8125;241;45
5414.906581442906;113.09375;6;6
5415.305231895;-57.6875;146;41
5415.63516036;-161.625;274;28
5416.425007806844;-62.84375;152;128
5416.572061414;-208.6875;131;50
5416.712128240719;12.59375;209;89
5416.966525404563;-14.5625;262;7
5417.051158806844;-53.53125;349;38
5417.222401839001;-80.625;317;6
5417.256561422656;5.34375;104;32
5417.7081551590945;36.90625;276;75
5417.965371461687;-219.6875;351;36
5418.210267999094;-167.09375;150;48
5418.811038290656;-114.65625;258;77
5418.919760891001;45;206;42
5419.256965228657;-18.65625;243;1
5419.458381149687;78.3125;274;52
5419.938948058;-74;212;35
5420.0500448640005;-30.40625;313;43
5420.491628891312;-182;161;110
5420.921931163188;-3.1875;172;28
5422.050347659406;-225.40625;342;4
5422.276613901813;-93.8125;61;66
5422.562335505126;118.875;86;5
5422.873343970156;81.84375;121;196
5423.029950098906;-198.125;216;67
5423.102581634;19.3125;149;27
5423.145035993438;-164.125;115;39
5423.555980508;-191.4375;280;38
5423.722304827999;-61.34375;340;49
5424.039265072;128;94;6
5424.514084104;-166;157;27
5424.721515833594;-108.8125;283;26
5424.969669512;-216;355;22
5425.1481312000005;-124;290;58
5425.27400503822;193.78125;55;7
5425.323306340374;87.625;99;183
5425.432447768;-100;143;23
5425.43262732;-144;160;28
5425.726038624501;-120.5;102;98
5425.972921953437;74.5625;96;67
5426.328676020563;-174.875;345;4
5426.438472036;-168;101;27
5426.797211784;-16;144;107
5426.869992745313;-49.3125;279;106
5427.271726952;-129.34375;290;9
5428.032935690657;-206.65625;85;26
5428.2638357247815;-120.78125;200;29
5428.392583971188;-53.1875;222;29
5428.456889155;-13.6875;211;40
5428.819876416001;2.65625;194;67
5429.457444574375;89.625;129;3
5429.800608736;-224;200;22
5430.040813464;0;62;38
5430.0683898647185;-34.34375;288;66
5430.341489166844;-26.84375;208;5
5431.017894371343;29.6875;18292;4
5431.129879566;-142;132;23
5431.170231043781;4.21875;125;186
5431.9232190405;-46.90625;237;95
5432.624265194124;-116.8125;7;4
5433.5297232133125;-21.3125;70;30
5433.581414438657;-158.65625;197;3
5433.781616485001;-179.6875;274;31
5433.788080830374;-26.375;356;32
5433.967514041437;-73.4375;250;5
5434.458459025125;-93.125;301;43
5434.627660116656;56.46875;1593;58
5435.798036094;7.3125;176;40
5436.1987628960005;-53.34375;138;36
5436.238199372658;-136.65625;164;47
5437.159050645313;136.375;344;26
5437.2422856213125;-90.125;308;50
5437.421388342656;-198.65625;78;42
5437.560275424;-220.8125;244;21
5437.617738097312;-9.3125;285;32
5437.683190122657;-132.28125;232;36
5437.824636131407;55.25;301;27
5437.929787590657;-136;322;34
5438.436425080001;-185.15625;340;35
5438.547319101687;38.3125;116;4
5438.707404865219;-157.21875;180;129
5439.1339774279995;-246.6875;286;5
5439.705354877313;-72;132;33
5439.882235333313;-185.3125;119;5
5440.488399985749;-47.75;274;52
5440.63760353475;-4.28125;10435;2043
5440.776241344;104;50;24
5440.890808488;-101.625;712;21
5441.042388784001;24;264;56
5441.575463604;-53.34375;328;33
5443.074695667188;-15.1875;132;29
5443.376003402;-249;350;21
5444.245711580782;-172.78125;293;25
5444.637213236781;-121.59375;341;31
5444.698155646657;-84;315;38
5445.430772038657;141.34375;42;43
5446.457436467188;16.8125;54;4
5446.589063857595;-118.9375;129;5
5446.593817376;-161.78125;32580;1639
5446.734491254;-47.625;264;20
5447.4907654653125;-105.3125;311;43
5447.595300496;99.5625;160;39
5447.844162136;-1931.21875;304;31
5448.241162469188;66.8125;65;659
5448.85345012;-105.625;342;26
5449.1053856;-184;302;22
5449.382193787999;-140;331;35
5450.007089473313;-126.125;339;27
5450.07120093;-230.59375;323;4
5450.5676090960005;168;96;75
5450.622004937751;-71.09375;308;6
5451.328026337594;-38.9375;172;114
5451.401830190125;65.875;109;205
5451.804976941313;-91.3125;290;25
5452.278968698813;-66.8125;122;172
5452.761644301812;150.1875;109;4
5453.006728596;-140;188;24
5453.2990468954995;-60.84375;191;4
5453.569880301312;138.6875;43;89
5453.668665379406;-211.40625;325;39
5453.7689858458125;-83.03125;32534;1448
5453.903981124781;-120.21875;323;51
5454.033893425593;170.40625;92;6
5454.156878553125;-71.53125;280;5
5454.430402769312;58.6875;159;149
5454.618059448;-40;188;44
5454.794800612438;-140.4375;278;5
5454.8086691220005;-148.6875;142;43
5455.102741216;-40;116;65
5455.698710538657;-58.65625;105;28
5456.2984160965625;-151.25;270;51
5456.847179044;-244;357;5
5456.914137695156;-74.375;6;4
5457.12074362325;-159.25;97;85
5457.652749248;-177.34375;321;3
5458.446689863999;-182;267;32
5458.614108572781;102.40625;243;88
5458.732410988;-164;274;37
5459.035332270126;44.53125;172;148
5459.105923040001;-76;208;32
5459.270022046;-178;171;33
5459.340254982;-157.0625;829;246
5459.6547903853125;22.6875;43;41
5460.915988867531;-43.53125;68;53
5460.942601236001;-56;7;3
5461.144392003188;184.8125;65;25
5461.219957522906;-144.25;136;32
5461.4705402380005;-223.625;246;30
5462.369003259;-58.625;1175;281
5462.42135023;-14;141;3
5462.661098199375;-119.375;166;141
5462.890603003407;-134.625;317;40
5463.157954370657;-170.65625;255;39
5463.431517014375;-121.59375;275;66
5463.62374854;-190.6875;145;24
5463.950610779406;55.25;98;26
5465.621270378438;-106.4375;249;99
5465.766599728;-36;100;31
5465.8582308800005;-132;65;44
5466.442295841125;-101.125;107;41
5466.999379532782;-156.78125;117;32
5467.306206614657;25.34375;38;34
5467.768148956344;-207.03125;172;60
5467.975925097876;-89.875;83;130
5469.474336877312;78.6875;124;21
5470.104759852;-122;223;84
5470.829437776;12;280;27
5470.932775245001;-191.6875;136;2
5471.233308212;-198.6875;181;28
5471.52234966;100;75;40
5471.668812754657;-213.875;231;25
5472.698473581312;-168.53125;261;56
5473.228202534219;9.78125;200;98
5473.376083254;-112;208;89
5477.036039762657;-31.46875;264;31
5478.174967454844;-1638.84375;34;3
5478.262053816938;-12.9375;7;6
5478.650300536001;-81.65625;31426;517
5478.8565714900005;-93.21875;232;67
5480.240096503249;-105.25;237;72
5481.284151813313;10.6875;238;5
5482.45583632;-64;118;3
5484.4041853280005;-110;192;104
5487.282053235094;165.125;3995;5
5491.7380075565625;-92.5625;127;7
5492.540974176;-181.34375;126;3
5494.799793601594;-85.59375;102;5
5499.273552566844;133.15625;196;5
5500.954080288;-8;185;4
5506.549337131625;-219.625;227;3
5507.881393774219;-64.21875;254;42
5511.165687529594;-193.59375;125;4
5511.492198829001;79;151;32
5511.714117045687;-55.03125;327;4
5512.120928355625;-25.875;13801;3
5513.232797457594;-113.59375;73;5
5513.4336026480005;-16;88;10
5513.643430732563;-52.5625;150;100
5514.372700422844;-46.84375;5;3
5514.5908478021565;93.84375;105;60
5514.703742328;-176;279;67
5515.516083456;89.3125;322;36
5515.95875546;-128;159;20
5517.14041792;-42.6875;153;7
5517.320503123688;36.3125;48;6
5518.383931504874;-128.875;137;41
5518.977150768001;112;41;35
5519.042162450656;22.9375;242;23
5519.167152082657;-85.875;328;34
5519.265963835406;-209.40625;125;37
5519.363690802906;-105.3125;284;5
5520.223750378282;26.875;932;87
5520.254865979;-3;128;50
5520.60271034;92;113;62
5521.049441752782;-68.78125;280;56
5521.266054714063;-102.0625;68;138
5521.408807525593;162.40625;46;89
5521.9125339699995;-184.875;319;28
5522.008330833312;-200;300;44
5522.423707816;-221.34375;142;5
5522.6976325703745;-168.78125;12;37
5523.089003546375;-137.0625;287;6
5523.221847586;-176;213;5
5523.371899073125;-194.28125;323;7
5523.44791270575;-129.75;274;53
5523.996255239188;-79.1875;53;47
5524.04884328;-198.875;309;2
5524.492162502375;-86.375;83;30
5524.535958068;-96;62;67
5524.780765982;-57.21875;248;34
5525.071606410657;-162.65625;233;58
5525.382011673001;-31.40625;324;4
5525.805400994;-45.21875;347;6
5526.075480177313;6.6875;186;31
5527.459837652437;-44.4375;271;56
5527.539416856001;28.78125;314;3
5527.832359865593;106.40625;127;28
5528.146230741593;-144.28125;319;40
5528.241917936;-77.34375;122;43
5528.5140002063745;-219.71875;276;28
5528.6080265420005;-154;220;32
5529.632564572907;-40.125;290;712
5530.34627288;176;101;6
5530.519864968001;-202.6875;200;33
5530.571711500001;-52;104;23
5530.628388982374;-131.71875;345;4
5530.820031616;-212;356;23
5532.236381896;110;210;76
5532.380046557312;-122.65625;190;25
5532.505328670375;-12.78125;305;55
5532.519175149313;-176;296;23
5532.523214840001;-106.6875;186;21
5532.636303426658;-212;306;39
5533.05824167;-83.34375;161;55
5533.546521325;157.65625;192;71
5534.751557474657;54.46875;338;57
5535.276753793125;-142.46875;290;48
5535.553960813531;-80.21875;170;126
5536.365431898;-72;222;25
5536.743606761125;106.875;69;38
5536.759184416;-176;335;26
5536.953214285063;80.25;113;44
5536.960414354;-46;107;22
5537.0736374319995;-228;110;7
5537.831029062;119.6875;396;98
5538.078588274;86;123;28
5539.119691709687;-88.375;162;41
5539.230581146657;-190.09375;339;36
5539.4739924415935;52.40625;162;5
5539.962068143438;-87.4375;109;147
5540.022679656;-44;229;5
5540.2077236651885;2.8125;138;170
5540.3701419285935;-176.59375;82;90
5540.730576932;-96;66;3
5541.345943085001;-101;340;4
5541.571874704532;-28.53125;150;127
5541.825383004;-40;340;27
5542.2038239830945;28.90625;115;30
5542.377021237;-53;113;28
5542.423930708782;35.21875;38;46
5542.774542702375;77.625;86;63
5543.337588850438;-157.125;1189;100
5543.517560671001;-114.21875;322;5
5543.592945067719;68.28125;66;133
5543.625220204438;-223.125;327;5
5543.8821362;-76;101;20
5544.106088114;-92.6875;336;25
5544.801265982375;-227.1875;223;38
5544.986733082001;-142;199;26
5545.158530212;-82;268;27
5545.385592969313;-187.3125;158;29
5545.888027377313;-91.3125;237;26
5547.307050342;-16.6875;167;49
5547.382023051188;16.8125;12;3
5547.418089445313;-125.3125;87;119
5547.737955138657;-120;176;53
5547.776858364;92;67;31
5547.804954626657;26.65625;215;23
5548.693868775001;-143;206;35
5548.794524709688;-99.03125;103;35
5548.805828562657;-104;181;20
5548.847952890438;104.21875;146;60
5548.881580406375;-153.0625;114;22
5549.090477248;-184;149;24
5549.385153971188;-163.1875;130;20
5549.961465712;-95;339;7
5550.121266144407;-52.40625;61;473
5550.203592150375;158.9375;242;6
5550.210982875626;-98.03125;240;70
5550.434938406;398;141;20
5550.905108341687;123.90625;282;31
5551.139078620782;19.21875;47;33
5551.4778856;-85.3125;127;34
5552.350296188;46.65625;132;23
5553.35601496675;-50.75;129;59
5553.408993201313;10.6875;124;24
5553.688424613313;-101.3125;191;23
5553.804412622376;-86.375;112;33
5553.881224816;18.65625;345;24
5553.983820513438;86.5625;57;62
5554.005364630657;81.34375;111;58
5555.113618237313;12.6875;155;34
5555.242408564;22.65625;202;23
5555.898298019406;-153.40625;214;4
5556.189450972437;-156.4375;266;65
5556.704033486;-192.6875;287;30
5557.0374536735935;57.0625;104;21
5557.243167552469;2.3125;1297;104
5558.407305916563;175.4375;131;40
5558.666095757687;170.3125;68;4
5559.813088008;-202;328;33
5559.841939726375;-210.96875;325;35
5561.4141175375935;158.40625;82;47
5561.451247544001;93.3125;235;35
5561.912651338656;-6.65625;71;26
5562.166529338657;-40;304;50
5562.359630429312;-190.46875;357;34
5562.484838063095;52.90625;135;47
5563.032940837687;-47.3125;305;51
5563.3133777423745;-194.96875;319;53
5564.002849116438;-6.0625;302;59
5564.638598444438;-104.4375;318;38
5565.039767869687;8.6875;248;90
5565.170992472;-793.34375;386;21
5565.213443797313;-41.3125;119;34
5565.492437648;-106.6875;143;21
5567.284509979407;2.96875;263;32
5568.8083863053125;-9.3125;206;38
5568.851115621687;-63.3125;304;46
5569.0756416543745;14.9375;151;23
5569.677736100906;22.28125;293;50
5570.048290517594;-122.1875;332;50
5570.638146992;-34.6875;205;69
5570.717657863001;-195;303;37
5570.898639772657;-92.65625;272;62
5571.419154722657;-40.65625;207;27
5571.5809844187515;-164.53125;851;574
5572.403141520001;-202.6875;157;47
5572.838946095001;-89.6875;194;45
5572.987683728562;-32.5625;245;95
5573.002006564;54.65625;195;24
5573.323877184782;103.21875;92;73
5573.578597734375;113.625;43;60
5574.454671868782;-216.21875;325;32
