TRACING ASCII File
Created by MP-OS program
COMMENT
 
HEADER
Start at: 	16-12-21 11:46 AM
Timebase: 	0.5 sec.
Operator: 	ME            90° Magnet
Operator units: 	A
Monitor1: 	FC7a         ME Moveable
Monitor1 units: 	% f.s.
 
 
 
 
 
 
 
 
DATA
O setting 	M1 reading 	
100.425 	0.44	 
100.475 	0.00	 
100.525 	0.00	 
100.575 	0.00	 
100.625 	0.00	 
100.675 	0.00	 
100.726 	0.00	 
100.776 	0.00	 
100.826 	0.00	 
100.876 	0.00	 
100.926 	0.00	 
100.976 	0.00	 
101.026 	0.00	 
101.076 	0.00	 
101.126 	0.00	 
101.176 	0.00	 
101.226 	0.00	 
101.276 	0.00	 
101.326 	0.00	 
101.376 	0.00	 
101.426 	0.00	 
101.476 	0.00	 
101.526 	0.00	 
101.576 	0.00	 
101.626 	0.00	 
101.676 	0.00	 
101.726 	0.00	 
101.776 	0.00	 
101.826 	0.00	 
101.876 	0.00	 
101.926 	0.00	 
101.976 	0.00	 
102.026 	0.00	 
102.076 	0.00	 
102.126 	0.00	 
102.176 	0.00	 
102.226 	0.00	 
102.276 	0.00	 
102.327 	0.00	 
102.377 	0.00	 
102.427 	0.00	 
102.477 	0.00	 
102.527 	0.00	 
102.577 	0.00	 
102.627 	0.00	 
102.677 	0.00	 
102.727 	0.00	 
102.777 	0.00	 
102.827 	0.00	 
102.877 	0.00	 
102.927 	0.00	 
102.977 	0.00	 
103.027 	0.00	 
103.077 	0.00	 
103.127 	0.00	 
103.177 	0.00	 
103.227 	0.00	 
103.277 	0.00	 
103.327 	0.00	 
103.377 	0.00	 
103.427 	0.00	 
103.477 	0.00	 
103.527 	0.00	 
103.577 	0.00	 
103.627 	0.00	 
103.677 	0.00	 
103.727 	0.00	 
103.777 	0.00	 
103.827 	0.00	 
103.877 	0.00	 
103.928 	0.00	 
103.978 	0.00	 
104.028 	0.00	 
104.078 	0.00	 
104.128 	0.00	 
104.178 	0.00	 
104.228 	0.00	 
104.278 	0.00	 
104.328 	0.00	 
104.378 	0.00	 
104.428 	0.00	 
104.478 	0.00	 
104.528 	0.00	 
104.578 	0.00	 
104.628 	0.00	 
104.678 	0.00	 
104.728 	0.00	 
104.778 	0.00	 
104.828 	0.00	 
104.878 	0.00	 
104.928 	0.00	 
104.978 	0.00	 
105.028 	0.00	 
105.078 	0.00	 
105.128 	0.00	 
105.178 	0.00	 
105.228 	0.00	 
105.278 	0.00	 
105.328 	0.00	 
105.378 	0.00	 
105.428 	0.00	 
105.478 	0.00	 
105.529 	0.00	 
105.579 	0.00	 
105.629 	0.00	 
105.679 	0.00	 
105.729 	0.00	 
105.779 	0.00	 
105.829 	0.00	 
105.879 	0.00	 
105.929 	0.00	 
105.979 	0.00	 
106.029 	0.00	 
106.079 	0.00	 
106.129 	0.00	 
106.179 	0.00	 
106.229 	0.00	 
106.279 	0.00	 
106.329 	0.00	 
106.379 	0.00	 
106.429 	0.00	 
106.479 	0.00	 
106.529 	0.00	 
106.579 	0.00	 
106.629 	0.00	 
106.679 	0.00	 
106.729 	0.00	 
106.779 	0.00	 
106.829 	0.00	 
106.879 	0.00	 
106.929 	0.00	 
106.979 	0.00	 
107.029 	0.00	 
107.079 	0.00	 
107.130 	0.00	 
107.180 	0.00	 
107.230 	0.00	 
107.280 	0.00	 
107.330 	0.00	 
107.380 	0.00	 
107.430 	0.00	 
107.480 	0.00	 
107.530 	0.00	 
107.580 	0.00	 
107.630 	0.00	 
107.680 	0.00	 
107.730 	0.00	 
107.780 	0.00	 
107.830 	0.00	 
107.880 	0.00	 
107.930 	0.00	 
107.980 	0.00	 
108.030 	0.00	 
108.080 	0.00	 
108.130 	0.00	 
108.180 	0.00	 
108.230 	0.00	 
108.280 	0.00	 
108.330 	0.00	 
108.380 	0.00	 
108.430 	0.00	 
108.480 	0.00	 
108.530 	0.00	 
108.580 	0.00	 
108.630 	0.00	 
108.680 	0.00	 
108.731 	0.00	 
108.781 	0.00	 
108.831 	0.00	 
108.881 	0.00	 
108.931 	0.00	 
108.981 	0.00	 
109.031 	0.00	 
109.081 	0.00	 
109.131 	0.00	 
109.181 	0.00	 
109.231 	0.00	 
109.281 	0.00	 
109.331 	0.00	 
109.381 	0.00	 
109.431 	0.00	 
109.481 	0.00	 
109.531 	0.00	 
109.581 	0.00	 
109.631 	0.00	 
109.681 	0.00	 
109.731 	0.00	 
109.781 	0.00	 
109.831 	0.00	 
109.881 	0.00	 
109.931 	0.00	 
109.981 	0.00	 
110.031 	0.00	 
110.081 	0.00	 
110.131 	0.00	 
110.181 	0.00	 
110.231 	0.00	 
110.281 	0.00	 
110.332 	0.00	 
110.382 	0.00	 
110.432 	0.00	 
110.482 	0.00	 
110.532 	0.00	 
110.582 	0.00	 
110.632 	0.00	 
110.682 	0.00	 
110.732 	0.00	 
