TRACING ASCII File
Created by MP-OS program
COMMENT
 
HEADER
Start at: 	16-12-21 11:13 AM
Timebase: 	1 sec.
Operator: 	BI                  90° Magnet
Operator units: 	A
Monitor1: 	Current Converter
Monitor1 units: 	A
 
 
 
 
 
 
 
 
DATA
O setting 	M1 reading 	Cur Conv Target 	Cur Conv Settings 	
70.367 	-4.713e-010	 FC5 Qsnout	 48644	 
70.468 	-2.554e-009	 FC5 Qsnout	 48644	 
70.568 	-3.521e-009	 FC5 Qsnout	 48644	 
70.668 	-3.448e-009	 FC5 Qsnout	 48644	 
70.768 	-1.678e-009	 FC5 Qsnout	 48644	 
70.869 	1.123e-010	 FC5 Qsnout	 15876	 
70.969 	0.000e+000	 FC5 Qsnout	 15876	 
71.069 	0.000e+000	 FC5 Qsnout	 15876	 
71.169 	0.000e+000	 FC5 Qsnout	 15876	 
71.269 	0.000e+000	 FC5 Qsnout	 15876	 
71.370 	0.000e+000	 FC5 Qsnout	 15876	 
71.470 	-9.011e-010	 FC5 Qsnout	 48644	 
71.570 	-6.129e-009	 FC5 Qsnout	 48644	 
71.670 	-8.029e-009	 FC5 Qsnout	 48644	 
71.771 	-7.487e-009	 FC5 Qsnout	 48644	 
71.871 	-3.199e-009	 FC5 Qsnout	 48644	 
71.971 	-4.005e-010	 FC5 Qsnout	 48644	 
72.071 	0.000e+000	 FC5 Qsnout	 15876	 
72.171 	0.000e+000	 FC5 Qsnout	 15876	 
72.272 	0.000e+000	 FC5 Qsnout	 15876	 
72.372 	0.000e+000	 FC5 Qsnout	 15876	 
72.472 	0.000e+000	 FC5 Qsnout	 15876	 
72.572 	-7.717e-010	 FC5 Qsnout	 48644	 
72.673 	-1.011e-009	 FC5 Qsnout	 48644	 
72.773 	-9.744e-010	 FC5 Qsnout	 48644	 
72.873 	-6.203e-010	 FC5 Qsnout	 48644	 
72.973 	4.884e-011	 FC5 Qsnout	 15876	 
73.073 	0.000e+000	 FC5 Qsnout	 15876	 
73.174 	0.000e+000	 FC5 Qsnout	 15876	 
73.274 	0.000e+000	 FC5 Qsnout	 15876	 
73.374 	0.000e+000	 FC5 Qsnout	 15876	 
73.474 	-5.128e-010	 FC5 Qsnout	 48644	 
73.575 	-6.132e-009	 FC5 Qsnout	 48644	 
73.675 	9.990e+002	 FC5 Qsnout	 65028	 
73.775 	-3.980e-008	 FC5 Qsnout	 48388	 
73.875 	-1.245e-008	 FC5 Qsnout	 48388	 
73.976 	-5.104e-009	 FC5 Qsnout	 48388	 
74.076 	6.838e-011	 FC5 Qsnout	 15876	 
74.176 	0.000e+000	 FC5 Qsnout	 15876	 
74.276 	0.000e+000	 FC5 Qsnout	 15876	 
74.376 	0.000e+000	 FC5 Qsnout	 15876	 
74.477 	0.000e+000	 FC5 Qsnout	 15876	 
74.577 	-6.545e-010	 FC5 Qsnout	 48644	 
74.677 	-1.878e-009	 FC5 Qsnout	 48644	 
74.777 	-2.266e-009	 FC5 Qsnout	 48644	 
74.878 	-2.090e-009	 FC5 Qsnout	 48644	 
74.978 	-9.158e-010	 FC5 Qsnout	 48644	 
75.078 	0.000e+000	 FC5 Qsnout	 15876	 
75.178 	0.000e+000	 FC5 Qsnout	 15876	 
75.278 	0.000e+000	 FC5 Qsnout	 15876	 
75.379 	0.000e+000	 FC5 Qsnout	 15876	 
75.479 	0.000e+000	 FC5 Qsnout	 15876	 
75.579 	0.000e+000	 FC5 Qsnout	 15876	 
75.679 	0.000e+000	 FC5 Qsnout	 15876	 
75.780 	0.000e+000	 FC5 Qsnout	 15876	 
75.880 	0.000e+000	 FC5 Qsnout	 15876	 
75.980 	0.000e+000	 FC5 Qsnout	 15876	 
76.080 	0.000e+000	 FC5 Qsnout	 15876	 
76.180 	0.000e+000	 FC5 Qsnout	 15876	 
76.281 	0.000e+000	 FC5 Qsnout	 15876	 
76.381 	0.000e+000	 FC5 Qsnout	 15876	 
76.481 	0.000e+000	 FC5 Qsnout	 15876	 
76.581 	0.000e+000	 FC5 Qsnout	 15876	 
76.682 	0.000e+000	 FC5 Qsnout	 15876	 
76.782 	0.000e+000	 FC5 Qsnout	 15876	 
76.882 	0.000e+000	 FC5 Qsnout	 15876	 
76.982 	0.000e+000	 FC5 Qsnout	 15876	 
77.082 	0.000e+000	 FC5 Qsnout	 15876	 
77.183 	0.000e+000	 FC5 Qsnout	 15876	 
77.283 	0.000e+000	 FC5 Qsnout	 15876	 
77.383 	0.000e+000	 FC5 Qsnout	 15876	 
77.483 	-1.612e-010	 FC5 Qsnout	 48644	 
77.584 	-1.643e-009	 FC5 Qsnout	 48644	 
77.684 	-2.388e-009	 FC5 Qsnout	 48644	 
77.784 	-2.437e-009	 FC5 Qsnout	 48644	 
77.884 	-1.714e-009	 FC5 Qsnout	 48644	 
77.984 	-4.737e-010	 FC5 Qsnout	 48644	 
78.085 	0.000e+000	 FC5 Qsnout	 15876	 
78.185 	0.000e+000	 FC5 Qsnout	 15876	 
78.285 	0.000e+000	 FC5 Qsnout	 15876	 
78.385 	-2.217e-009	 FC5 Qsnout	 48644	 
78.486 	9.990e+002	 FC5 Qsnout	 65028	 
78.586 	9.990e+002	 FC5 Qsnout	 64772	 
78.686 	-3.685e-007	 FC5 Qsnout	 48132	 
78.786 	-3.082e-007	 FC5 Qsnout	 48132	 
78.886 	-1.983e-007	 FC5 Qsnout	 48132	 
78.987 	-6.203e-008	 FC5 Qsnout	 48132	 
79.087 	2.515e-009	 FC5 Qsnout	 15620	 
79.187 	0.000e+000	 FC5 Qsnout	 15876	 
79.287 	0.000e+000	 FC5 Qsnout	 15876	 
79.388 	0.000e+000	 FC5 Qsnout	 15876	 
79.488 	-6.545e-010	 FC5 Qsnout	 48644	 
79.588 	-1.480e-009	 FC5 Qsnout	 48644	 
79.688 	-1.538e-009	 FC5 Qsnout	 48644	 
79.788 	-1.248e-009	 FC5 Qsnout	 48644	 
79.889 	-3.370e-010	 FC5 Qsnout	 48644	 
79.989 	5.861e-011	 FC5 Qsnout	 15876	 
80.089 	0.000e+000	 FC5 Qsnout	 15876	 
80.189 	0.000e+000	 FC5 Qsnout	 15876	 
80.290 	-5.812e-010	 FC5 Qsnout	 48644	 
80.390 	-4.427e-009	 FC5 Qsnout	 48644	 
80.490 	-9.629e-009	 FC5 Qsnout	 48644	 
80.590 	9.990e+002	 FC5 Qsnout	 65028	 
80.690 	-1.050e-008	 FC5 Qsnout	 48388	 
80.791 	-2.882e-009	 FC5 Qsnout	 48644	 
80.891 	-8.669e-010	 FC5 Qsnout	 48644	 
80.991 	1.954e-011	 FC5 Qsnout	 15876	 
81.091 	0.000e+000	 FC5 Qsnout	 15876	 
81.192 	0.000e+000	 FC5 Qsnout	 15876	 
81.292 	0.000e+000	 FC5 Qsnout	 15876	 
